Lieferanten_nr;Lieferanten_matnr;Artikel_nr;Preisenheit;Mengeneinheit;Staffelmenge;Preis;Waehrung;Code;Startdatum;Enddatum;Kalk_wirksam
30XXXX6;;55344380;1;ST;;2,07;EUR;PB00;20210706;20240228;
30XXXX6;;55344380;1;ST;;1,84;EUR;PB00;20120516;20160930;
30XXXX6;;55344380;1;ST;;1,88;EUR;PB00;20161001;20210705;
30XXXX6;;55455381;1;ST;;2,29;EUR;PB00;20210706;20240228;
30XXXX6;;55455381;1;ST;;2,04;EUR;PB00;20120516;20160930;
30XXXX6;;55455381;1;ST;;2,08;EUR;PB00;20161001;20210705;
30XXXX6;51XXXX815X;66366340;1;ST;;20;EUR;PB00;20181217;20210705;
30XXXX6;51XXXX815X;66366340;1;ST;100;4,73;EUR;PB00;20181217;20210705;
30XXXX6;51XXXX815X;66366340;1;ST;300;4,67;EUR;PB00;20181217;20210705;
30XXXX6;51XXXX815X;66366340;1;ST;600;4,65;EUR;PB00;20181217;20210705;
30XXXX6;51XXXX815X;66366340;1;ST;1200;4,64;EUR;PB00;20181217;20210705;
30XXXX6;51XXXX815X;66366340;1;ST;;22;EUR;PB00;20210706;20240228;
30XXXX6;51XXXX815X;66366340;1;ST;100;5,2;EUR;PB00;20210706;20240228;
30XXXX6;51XXXX815X;66366340;1;ST;300;5,14;EUR;PB00;20210706;20240228;
30XXXX6;51XXXX815X;66366340;1;ST;600;5,12;EUR;PB00;20210706;20240228;
30XXXX6;51XXXX815X;66366340;1;ST;1200;5,1;EUR;PB00;20210706;20240228;
30XXXX6;51XXXX815X XX;66966950;1;ST;;20;EUR;PB00;20181217;20210705;
30XXXX6;51XXXX815X XX;66966950;1;ST;100;5,73;EUR;PB00;20181217;20210705;
30XXXX6;51XXXX815X XX;66966950;1;ST;300;5,56;EUR;PB00;20181217;20210705;
30XXXX6;51XXXX815X XX;66966950;1;ST;600;5,52;EUR;PB00;20181217;20210705;
30XXXX6;51XXXX815X XX;66966950;1;ST;1200;5,5;EUR;PB00;20181217;20210705;
30XXXX6;51XXXX815X XX;66966950;1;ST;;22;EUR;PB00;20210706;20240228;
30XXXX6;51XXXX815X XX;66966950;1;ST;100;6,3;EUR;PB00;20210706;20240228;
30XXXX6;51XXXX815X XX;66966950;1;ST;300;6,12;EUR;PB00;20210706;20240228;
30XXXX6;51XXXX815X XX;66966950;1;ST;600;6,07;EUR;PB00;20210706;20240228;
30XXXX6;51XXXX815X XX;66966950;1;ST;1200;6,05;EUR;PB00;20210706;20240228;
30XXXX6;03-RFXXXX;54533445;1;ST;;24,5;EUR;PB00;20160615;20160930;
30XXXX6;03-RFXXXX;54533445;1;ST;;35;EUR;PB00;20161001;20210121;
30XXXX6;03-RFXXXX;54533445;1;ST;50;24,99;EUR;PB00;20161001;20210121;
30XXXX6;03-RFXXXX;54533445;1;ST;5;40;EUR;PB00;20210122;20210705;
30XXXX6;03-RFXXXX;54533445;1;ST;10;35;EUR;PB00;20210122;20210705;
30XXXX6;03-RFXXXX;54533445;1;ST;25;30;EUR;PB00;20210122;20210705;
30XXXX6;03-RFXXXX;54533445;1;ST;50;24,99;EUR;PB00;20210122;20210705;
30XXXX6;03-RFXXXX;54533445;1;ST;5;44;EUR;PB00;20210706;20230507;
30XXXX6;03-RFXXXX;54533445;1;ST;10;38,5;EUR;PB00;20210706;20230507;
30XXXX6;03-RFXXXX;54533445;1;ST;25;33;EUR;PB00;20210706;20230507;
30XXXX6;03-RFXXXX;54533445;1;ST;50;27,49;EUR;PB00;20210706;20230507;
30XXXX6;03-RFXXXX;54533445;1;ST;50;32,16;EUR;PB00;20230508;20250507;
30XXXX6;03-RFXXXX;54533445;1;ST;5;44;EUR;PB00;20250508;99991231;
30XXXX6;03-RFXXXX;54533445;1;ST;10;38,5;EUR;PB00;20250508;99991231;
30XXXX6;03-RFXXXX;54533445;1;ST;25;33;EUR;PB00;20250508;99991231;
30XXXX6;03-RFXXXX;54533445;1;ST;50;27,49;EUR;PB00;20250508;99991231;
